PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Age_Range
1,0,3,1,22.0,1,0,7.25,0,1
2,1,1,0,38.0,1,0,71.2833,1,2
3,1,3,0,26.0,0,0,7.925,0,1
4,1,1,0,35.0,1,0,53.1,0,2
5,0,3,1,35.0,0,0,8.05,0,2
6,0,3,1,25.0,0,0,8.4583,2,1
7,0,1,1,54.0,0,0,51.8625,0,3
8,0,3,1,2.0,3,1,21.075,0,0
9,1,3,0,27.0,0,2,11.1333,0,1
10,1,2,0,14.0,1,0,30.0708,1,0
11,1,3,0,4.0,1,1,16.7,0,0
12,1,1,0,58.0,0,0,26.55,0,3
13,0,3,1,20.0,0,0,8.05,0,1
14,0,3,1,39.0,1,5,31.275,0,2
15,0,3,0,14.0,0,0,7.8542,0,0
16,1,2,0,55.0,0,0,16.0,0,3
17,0,3,1,2.0,4,1,29.125,2,0
18,1,2,1,30.0,0,0,13.0,0,2
19,0,3,0,31.0,1,0,18.0,0,2
20,1,3,0,25.0,0,0,7.225,1,1
21,0,2,1,35.0,0,0,26.0,0,2
22,1,2,1,34.0,0,0,13.0,0,2
23,1,3,0,15.0,0,0,8.0292,2,0
24,1,1,1,28.0,0,0,35.5,0,1
25,0,3,0,8.0,3,1,21.075,0,0
26,1,3,0,38.0,1,5,31.3875,0,2
27,0,3,1,25.0,0,0,7.225,1,1
28,0,1,1,19.0,3,2,263.0,0,1
29,1,3,0,25.0,0,0,7.8792,2,1
30,0,3,1,25.0,0,0,7.8958,0,1
31,0,1,1,40.0,0,0,27.7208,1,2
32,1,1,0,38.0,1,0,146.5208,1,2
33,1,3,0,25.0,0,0,7.75,2,1
34,0,2,1,66.0,0,0,10.5,0,3
35,0,1,1,28.0,1,0,82.1708,1,1
36,0,1,1,42.0,1,0,52.0,0,2
37,1,3,1,25.0,0,0,7.2292,1,1
38,0,3,1,21.0,0,0,8.05,0,1
39,0,3,0,18.0,2,0,18.0,0,1
40,1,3,0,14.0,1,0,11.2417,1,0
41,0,3,0,40.0,1,0,9.475,0,2
42,0,2,0,27.0,1,0,21.0,0,1
43,0,3,1,25.0,0,0,7.8958,1,1
44,1,2,0,3.0,1,2,41.5792,1,0
45,1,3,0,19.0,0,0,7.8792,2,1
46,0,3,1,25.0,0,0,8.05,0,1
47,0,3,1,25.0,1,0,15.5,2,1
48,1,3,0,25.0,0,0,7.75,2,1
49,0,3,1,25.0,2,0,21.6792,1,1
50,0,3,0,18.0,1,0,17.8,0,1
51,0,3,1,7.0,4,1,39.6875,0,0
52,0,3,1,21.0,0,0,7.8,0,1
53,1,1,0,49.0,1,0,76.7292,1,2
54,1,2,0,29.0,1,0,26.0,0,1
55,0,1,1,65.0,0,1,61.9792,1,3
56,1,1,1,38.0,0,0,35.5,0,2
57,1,2,0,21.0,0,0,10.5,0,1
58,0,3,1,28.5,0,0,7.2292,1,1
59,1,2,0,5.0,1,2,27.75,0,0
60,0,3,1,11.0,5,2,46.9,0,0
61,0,3,1,22.0,0,0,7.2292,1,1
62,1,1,0,38.0,0,0,80.0,0,2
63,0,1,1,45.0,1,0,83.475,0,2
64,0,3,1,4.0,3,2,27.9,0,0
65,0,1,1,38.0,0,0,27.7208,1,2
66,1,3,1,25.0,1,1,15.2458,1,1
67,1,2,0,29.0,0,0,10.5,0,1
68,0,3,1,19.0,0,0,8.1583,0,1
69,1,3,0,17.0,4,2,7.925,0,0
70,0,3,1,26.0,2,0,8.6625,0,1
71,0,2,1,32.0,0,0,10.5,0,2
72,0,3,0,16.0,5,2,46.9,0,0
73,0,2,1,21.0,0,0,73.5,0,1
74,0,3,1,26.0,1,0,14.4542,1,1
75,1,3,1,32.0,0,0,56.4958,0,2
76,0,3,1,25.0,0,0,7.65,0,1
77,0,3,1,25.0,0,0,7.8958,0,1
78,0,3,1,25.0,0,0,8.05,0,1
79,1,2,1,0.83,0,2,29.0,0,0
80,1,3,0,30.0,0,0,12.475,0,2
81,0,3,1,22.0,0,0,9.0,0,1
82,1,3,1,29.0,0,0,9.5,0,1
83,1,3,0,25.0,0,0,7.7875,2,1
84,0,1,1,28.0,0,0,47.1,0,1
85,1,2,0,17.0,0,0,10.5,0,0
86,1,3,0,33.0,3,0,15.85,0,2
87,0,3,1,16.0,1,3,34.375,0,0
88,0,3,1,25.0,0,0,8.05,0,1
89,1,1,0,23.0,3,2,263.0,0,1
90,0,3,1,24.0,0,0,8.05,0,1
91,0,3,1,29.0,0,0,8.05,0,1
92,0,3,1,20.0,0,0,7.8542,0,1
93,0,1,1,46.0,1,0,61.175,0,2
94,0,3,1,26.0,1,2,20.575,0,1
95,0,3,1,59.0,0,0,7.25,0,3
96,0,3,1,25.0,0,0,8.05,0,1
97,0,1,1,71.0,0,0,34.6542,1,3
98,1,1,1,23.0,0,1,63.3583,1,1
99,1,2,0,34.0,0,1,23.0,0,2
100,0,2,1,34.0,1,0,26.0,0,2
101,0,3,0,28.0,0,0,7.8958,0,1
102,0,3,1,25.0,0,0,7.8958,0,1
103,0,1,1,21.0,0,1,77.2875,0,1
104,0,3,1,33.0,0,0,8.6542,0,2
105,0,3,1,37.0,2,0,7.925,0,2
106,0,3,1,28.0,0,0,7.8958,0,1
107,1,3,0,21.0,0,0,7.65,0,1
108,1,3,1,25.0,0,0,7.775,0,1
109,0,3,1,38.0,0,0,7.8958,0,2
110,1,3,0,25.0,1,0,24.15,2,1
111,0,1,1,47.0,0,0,52.0,0,2
112,0,3,0,14.5,1,0,14.4542,1,0
113,0,3,1,22.0,0,0,8.05,0,1
114,0,3,0,20.0,1,0,9.825,0,1
115,0,3,0,17.0,0,0,14.4583,1,0
116,0,3,1,21.0,0,0,7.925,0,1
117,0,3,1,70.5,0,0,7.75,2,3
118,0,2,1,29.0,1,0,21.0,0,1
119,0,1,1,24.0,0,1,247.5208,1,1
120,0,3,0,2.0,4,2,31.275,0,0
121,0,2,1,21.0,2,0,73.5,0,1
122,0,3,1,25.0,0,0,8.05,0,1
123,0,2,1,32.5,1,0,30.0708,1,2
124,1,2,0,32.5,0,0,13.0,0,2
125,0,1,1,54.0,0,1,77.2875,0,3
126,1,3,1,12.0,1,0,11.2417,1,0
127,0,3,1,25.0,0,0,7.75,2,1
128,1,3,1,24.0,0,0,7.1417,0,1
129,1,3,0,25.0,1,1,22.3583,1,1
130,0,3,1,45.0,0,0,6.975,0,2
131,0,3,1,33.0,0,0,7.8958,1,2
132,0,3,1,20.0,0,0,7.05,0,1
133,0,3,0,47.0,1,0,14.5,0,2
134,1,2,0,29.0,1,0,26.0,0,1
135,0,2,1,25.0,0,0,13.0,0,1
136,0,2,1,23.0,0,0,15.0458,1,1
137,1,1,0,19.0,0,2,26.2833,0,1
138,0,1,1,37.0,1,0,53.1,0,2
139,0,3,1,16.0,0,0,9.2167,0,0
140,0,1,1,24.0,0,0,79.2,1,1
141,0,3,0,25.0,0,2,15.2458,1,1
142,1,3,0,22.0,0,0,7.75,0,1
143,1,3,0,24.0,1,0,15.85,0,1
144,0,3,1,19.0,0,0,6.75,2,1
145,0,2,1,18.0,0,0,11.5,0,1
146,0,2,1,19.0,1,1,36.75,0,1
147,1,3,1,27.0,0,0,7.7958,0,1
148,0,3,0,9.0,2,2,34.375,0,0
149,0,2,1,36.5,0,2,26.0,0,2
150,0,2,1,42.0,0,0,13.0,0,2
151,0,2,1,51.0,0,0,12.525,0,3
152,1,1,0,22.0,1,0,66.6,0,1
153,0,3,1,55.5,0,0,8.05,0,3
154,0,3,1,40.5,0,2,14.5,0,2
155,0,3,1,25.0,0,0,7.3125,0,1
156,0,1,1,51.0,0,1,61.3792,1,3
157,1,3,0,16.0,0,0,7.7333,2,0
158,0,3,1,30.0,0,0,8.05,0,2
159,0,3,1,25.0,0,0,8.6625,0,1
160,0,3,1,25.0,8,2,69.55,0,1
161,0,3,1,44.0,0,1,16.1,0,2
162,1,2,0,40.0,0,0,15.75,0,2
163,0,3,1,26.0,0,0,7.775,0,1
164,0,3,1,17.0,0,0,8.6625,0,0
165,0,3,1,1.0,4,1,39.6875,0,0
166,1,3,1,9.0,0,2,20.525,0,0
167,1,1,0,38.0,0,1,55.0,0,2
168,0,3,0,45.0,1,4,27.9,0,2
169,0,1,1,38.0,0,0,25.925,0,2
170,0,3,1,28.0,0,0,56.4958,0,1
171,0,1,1,61.0,0,0,33.5,0,3
172,0,3,1,4.0,4,1,29.125,2,0
173,1,3,0,1.0,1,1,11.1333,0,0
174,0,3,1,21.0,0,0,7.925,0,1
175,0,1,1,56.0,0,0,30.6958,1,3
176,0,3,1,18.0,1,1,7.8542,0,1
177,0,3,1,25.0,3,1,25.4667,0,1
178,0,1,0,50.0,0,0,28.7125,1,3
179,0,2,1,30.0,0,0,13.0,0,2
180,0,3,1,36.0,0,0,0.0,0,2
181,0,3,0,25.0,8,2,69.55,0,1
182,0,2,1,30.0,0,0,15.05,1,2
183,0,3,1,9.0,4,2,31.3875,0,0
184,1,2,1,1.0,2,1,39.0,0,0
185,1,3,0,4.0,0,2,22.025,0,0
186,0,1,1,38.0,0,0,50.0,0,2
187,1,3,0,25.0,1,0,15.5,2,1
188,1,1,1,45.0,0,0,26.55,0,2
189,0,3,1,40.0,1,1,15.5,2,2
190,0,3,1,36.0,0,0,7.8958,0,2
191,1,2,0,32.0,0,0,13.0,0,2
192,0,2,1,19.0,0,0,13.0,0,1
193,1,3,0,19.0,1,0,7.8542,0,1
194,1,2,1,3.0,1,1,26.0,0,0
195,1,1,0,44.0,0,0,27.7208,1,2
196,1,1,0,58.0,0,0,146.5208,1,3
197,0,3,1,25.0,0,0,7.75,2,1
198,0,3,1,42.0,0,1,8.4042,0,2
199,1,3,0,25.0,0,0,7.75,2,1
200,0,2,0,24.0,0,0,13.0,0,1
201,0,3,1,28.0,0,0,9.5,0,1
202,0,3,1,25.0,8,2,69.55,0,1
203,0,3,1,34.0,0,0,6.4958,0,2
204,0,3,1,45.5,0,0,7.225,1,2
205,1,3,1,18.0,0,0,8.05,0,1
206,0,3,0,2.0,0,1,10.4625,0,0
207,0,3,1,32.0,1,0,15.85,0,2
208,1,3,1,26.0,0,0,18.7875,1,1
209,1,3,0,16.0,0,0,7.75,2,0
210,1,1,1,40.0,0,0,31.0,1,2
211,0,3,1,24.0,0,0,7.05,0,1
212,1,2,0,35.0,0,0,21.0,0,2
213,0,3,1,22.0,0,0,7.25,0,1
214,0,2,1,30.0,0,0,13.0,0,2
215,0,3,1,25.0,1,0,7.75,2,1
216,1,1,0,31.0,1,0,113.275,1,2
217,1,3,0,27.0,0,0,7.925,0,1
218,0,2,1,42.0,1,0,27.0,0,2
219,1,1,0,32.0,0,0,76.2917,1,2
220,0,2,1,30.0,0,0,10.5,0,2
221,1,3,1,16.0,0,0,8.05,0,0
222,0,2,1,27.0,0,0,13.0,0,1
223,0,3,1,51.0,0,0,8.05,0,3
224,0,3,1,25.0,0,0,7.8958,0,1
225,1,1,1,38.0,1,0,90.0,0,2
226,0,3,1,22.0,0,0,9.35,0,1
227,1,2,1,19.0,0,0,10.5,0,1
228,0,3,1,20.5,0,0,7.25,0,1
229,0,2,1,18.0,0,0,13.0,0,1
230,0,3,0,25.0,3,1,25.4667,0,1
231,1,1,0,35.0,1,0,83.475,0,2
232,0,3,1,29.0,0,0,7.775,0,1
233,0,2,1,59.0,0,0,13.5,0,3
234,1,3,0,5.0,4,2,31.3875,0,0
235,0,2,1,24.0,0,0,10.5,0,1
236,0,3,0,25.0,0,0,7.55,0,1
237,0,2,1,44.0,1,0,26.0,0,2
238,1,2,0,8.0,0,2,26.25,0,0
239,0,2,1,19.0,0,0,10.5,0,1
240,0,2,1,33.0,0,0,12.275,0,2
241,0,3,0,25.0,1,0,14.4542,1,1
242,1,3,0,25.0,1,0,15.5,2,1
243,0,2,1,29.0,0,0,10.5,0,1
244,0,3,1,22.0,0,0,7.125,0,1
245,0,3,1,30.0,0,0,7.225,1,2
246,0,1,1,44.0,2,0,90.0,2,2
247,0,3,0,25.0,0,0,7.775,0,1
248,1,2,0,24.0,0,2,14.5,0,1
249,1,1,1,37.0,1,1,52.5542,0,2
250,0,2,1,54.0,1,0,26.0,0,3
251,0,3,1,25.0,0,0,7.25,0,1
252,0,3,0,29.0,1,1,10.4625,0,1
253,0,1,1,62.0,0,0,26.55,0,3
254,0,3,1,30.0,1,0,16.1,0,2
255,0,3,0,41.0,0,2,20.2125,0,2
256,1,3,0,29.0,0,2,15.2458,1,1
257,1,1,0,38.0,0,0,79.2,1,2
258,1,1,0,30.0,0,0,86.5,0,2
259,1,1,0,35.0,0,0,512.3292,1,2
260,1,2,0,50.0,0,1,26.0,0,3
261,0,3,1,25.0,0,0,7.75,2,1
262,1,3,1,3.0,4,2,31.3875,0,0
263,0,1,1,52.0,1,1,79.65,0,3
264,0,1,1,40.0,0,0,0.0,0,2
265,0,3,0,25.0,0,0,7.75,2,1
266,0,2,1,36.0,0,0,10.5,0,2
267,0,3,1,16.0,4,1,39.6875,0,0
268,1,3,1,25.0,1,0,7.775,0,1
269,1,1,0,58.0,0,1,153.4625,0,3
270,1,1,0,35.0,0,0,135.6333,0,2
271,0,1,1,38.0,0,0,31.0,0,2
272,1,3,1,25.0,0,0,0.0,0,1
273,1,2,0,41.0,0,1,19.5,0,2
274,0,1,1,37.0,0,1,29.7,1,2
275,1,3,0,25.0,0,0,7.75,2,1
276,1,1,0,63.0,1,0,77.9583,0,3
277,0,3,0,45.0,0,0,7.75,0,2
278,0,2,1,30.0,0,0,0.0,0,2
279,0,3,1,7.0,4,1,29.125,2,0
280,1,3,0,35.0,1,1,20.25,0,2
281,0,3,1,65.0,0,0,7.75,2,3
282,0,3,1,28.0,0,0,7.8542,0,1
283,0,3,1,16.0,0,0,9.5,0,0
284,1,3,1,19.0,0,0,8.05,0,1
285,0,1,1,38.0,0,0,26.0,0,2
286,0,3,1,33.0,0,0,8.6625,1,2
287,1,3,1,30.0,0,0,9.5,0,2
288,0,3,1,22.0,0,0,7.8958,0,1
289,1,2,1,42.0,0,0,13.0,0,2
290,1,3,0,22.0,0,0,7.75,2,1
291,1,1,0,26.0,0,0,78.85,0,1
292,1,1,0,19.0,1,0,91.0792,1,1
293,0,2,1,36.0,0,0,12.875,1,2
294,0,3,0,24.0,0,0,8.85,0,1
295,0,3,1,24.0,0,0,7.8958,0,1
296,0,1,1,38.0,0,0,27.7208,1,2
297,0,3,1,23.5,0,0,7.2292,1,1
298,0,1,0,2.0,1,2,151.55,0,0
299,1,1,1,38.0,0,0,30.5,0,2
300,1,1,0,50.0,0,1,247.5208,1,3
301,1,3,0,25.0,0,0,7.75,2,1
302,1,3,1,25.0,2,0,23.25,2,1
303,0,3,1,19.0,0,0,0.0,0,1
304,1,2,0,30.0,0,0,12.35,2,2
305,0,3,1,25.0,0,0,8.05,0,1
306,1,1,1,0.92,1,2,151.55,0,0
307,1,1,0,38.0,0,0,110.8833,1,2
308,1,1,0,17.0,1,0,108.9,1,0
309,0,2,1,30.0,1,0,24.0,1,2
310,1,1,0,30.0,0,0,56.9292,1,2
311,1,1,0,24.0,0,0,83.1583,1,1
312,1,1,0,18.0,2,2,262.375,1,1
313,0,2,0,26.0,1,1,26.0,0,1
314,0,3,1,28.0,0,0,7.8958,0,1
315,0,2,1,43.0,1,1,26.25,0,2
316,1,3,0,26.0,0,0,7.8542,0,1
317,1,2,0,24.0,1,0,26.0,0,1
318,0,2,1,54.0,0,0,14.0,0,3
319,1,1,0,31.0,0,2,164.8667,0,2
320,1,1,0,40.0,1,1,134.5,1,2
321,0,3,1,22.0,0,0,7.25,0,1
322,0,3,1,27.0,0,0,7.8958,0,1
323,1,2,0,30.0,0,0,12.35,2,2
324,1,2,0,22.0,1,1,29.0,0,1
325,0,3,1,25.0,8,2,69.55,0,1
326,1,1,0,36.0,0,0,135.6333,1,2
327,0,3,1,61.0,0,0,6.2375,0,3
328,1,2,0,36.0,0,0,13.0,0,2
329,1,3,0,31.0,1,1,20.525,0,2
330,1,1,0,16.0,0,1,57.9792,1,0
331,1,3,0,25.0,2,0,23.25,2,1
332,0,1,1,45.5,0,0,28.5,0,2
333,0,1,1,38.0,0,1,153.4625,0,2
334,0,3,1,16.0,2,0,18.0,0,0
335,1,1,0,38.0,1,0,133.65,0,2
336,0,3,1,25.0,0,0,7.8958,0,1
337,0,1,1,29.0,1,0,66.6,0,1
338,1,1,0,41.0,0,0,134.5,1,2
339,1,3,1,45.0,0,0,8.05,0,2
340,0,1,1,45.0,0,0,35.5,0,2
341,1,2,1,2.0,1,1,26.0,0,0
342,1,1,0,24.0,3,2,263.0,0,1
343,0,2,1,28.0,0,0,13.0,0,1
344,0,2,1,25.0,0,0,13.0,0,1
345,0,2,1,36.0,0,0,13.0,0,2
346,1,2,0,24.0,0,0,13.0,0,1
347,1,2,0,40.0,0,0,13.0,0,2
348,1,3,0,25.0,1,0,16.1,0,1
349,1,3,1,3.0,1,1,15.9,0,0
350,0,3,1,42.0,0,0,8.6625,0,2
351,0,3,1,23.0,0,0,9.225,0,1
352,0,1,1,38.0,0,0,35.0,0,2
353,0,3,1,15.0,1,1,7.2292,1,0
354,0,3,1,25.0,1,0,17.8,0,1
355,0,3,1,25.0,0,0,7.225,1,1
356,0,3,1,28.0,0,0,9.5,0,1
357,1,1,0,22.0,0,1,55.0,0,1
358,0,2,0,38.0,0,0,13.0,0,2
359,1,3,0,25.0,0,0,7.8792,2,1
360,1,3,0,25.0,0,0,7.8792,2,1
361,0,3,1,40.0,1,4,27.9,0,2
362,0,2,1,29.0,1,0,27.7208,1,1
363,0,3,0,45.0,0,1,14.4542,1,2
364,0,3,1,35.0,0,0,7.05,0,2
365,0,3,1,25.0,1,0,15.5,2,1
366,0,3,1,30.0,0,0,7.25,0,2
367,1,1,0,60.0,1,0,75.25,1,3
368,1,3,0,25.0,0,0,7.2292,1,1
369,1,3,0,25.0,0,0,7.75,2,1
370,1,1,0,24.0,0,0,69.3,1,1
371,1,1,1,25.0,1,0,55.4417,1,1
372,0,3,1,18.0,1,0,6.4958,0,1
373,0,3,1,19.0,0,0,8.05,0,1
374,0,1,1,22.0,0,0,135.6333,1,1
375,0,3,0,3.0,3,1,21.075,0,0
376,1,1,0,38.0,1,0,82.1708,1,2
377,1,3,0,22.0,0,0,7.25,0,1
378,0,1,1,27.0,0,2,211.5,1,1
379,0,3,1,20.0,0,0,4.0125,1,1
380,0,3,1,19.0,0,0,7.775,0,1
381,1,1,0,42.0,0,0,227.525,1,2
382,1,3,0,1.0,0,2,15.7417,1,0
383,0,3,1,32.0,0,0,7.925,0,2
384,1,1,0,35.0,1,0,52.0,0,2
385,0,3,1,25.0,0,0,7.8958,0,1
386,0,2,1,18.0,0,0,73.5,0,1
387,0,3,1,1.0,5,2,46.9,0,0
388,1,2,0,36.0,0,0,13.0,0,2
389,0,3,1,25.0,0,0,7.7292,2,1
390,1,2,0,17.0,0,0,12.0,1,0
391,1,1,1,36.0,1,2,120.0,0,2
392,1,3,1,21.0,0,0,7.7958,0,1
393,0,3,1,28.0,2,0,7.925,0,1
394,1,1,0,23.0,1,0,113.275,1,1
395,1,3,0,24.0,0,2,16.7,0,1
396,0,3,1,22.0,0,0,7.7958,0,1
397,0,3,0,31.0,0,0,7.8542,0,2
398,0,2,1,46.0,0,0,26.0,0,2
399,0,2,1,23.0,0,0,10.5,0,1
400,1,2,0,28.0,0,0,12.65,0,1
401,1,3,1,39.0,0,0,7.925,0,2
402,0,3,1,26.0,0,0,8.05,0,1
403,0,3,0,21.0,1,0,9.825,0,1
404,0,3,1,28.0,1,0,15.85,0,1
405,0,3,0,20.0,0,0,8.6625,0,1
406,0,2,1,34.0,1,0,21.0,0,2
407,0,3,1,51.0,0,0,7.75,0,3
408,1,2,1,3.0,1,1,18.75,0,0
409,0,3,1,21.0,0,0,7.775,0,1
410,0,3,0,25.0,3,1,25.4667,0,1
411,0,3,1,25.0,0,0,7.8958,0,1
412,0,3,1,25.0,0,0,6.8583,2,1
413,1,1,0,33.0,1,0,90.0,2,2
414,0,2,1,30.0,0,0,0.0,0,2
415,1,3,1,44.0,0,0,7.925,0,2
416,0,3,0,25.0,0,0,8.05,0,1
417,1,2,0,34.0,1,1,32.5,0,2
418,1,2,0,18.0,0,2,13.0,0,1
419,0,2,1,30.0,0,0,13.0,0,2
420,0,3,0,10.0,0,2,24.15,0,0
421,0,3,1,25.0,0,0,7.8958,1,1
422,0,3,1,21.0,0,0,7.7333,2,1
423,0,3,1,29.0,0,0,7.875,0,1
424,0,3,0,28.0,1,1,14.4,0,1
425,0,3,1,18.0,1,1,20.2125,0,1
426,0,3,1,25.0,0,0,7.25,0,1
427,1,2,0,28.0,1,0,26.0,0,1
428,1,2,0,19.0,0,0,26.0,0,1
429,0,3,1,25.0,0,0,7.75,2,1
430,1,3,1,32.0,0,0,8.05,0,2
431,1,1,1,28.0,0,0,26.55,0,1
432,1,3,0,25.0,1,0,16.1,0,1
433,1,2,0,42.0,1,0,26.0,0,2
434,0,3,1,17.0,0,0,7.125,0,0
435,0,1,1,50.0,1,0,55.9,0,3
436,1,1,0,14.0,1,2,120.0,0,0
437,0,3,0,21.0,2,2,34.375,0,1
438,1,2,0,24.0,2,3,18.75,0,1
439,0,1,1,64.0,1,4,263.0,0,3
440,0,2,1,31.0,0,0,10.5,0,2
441,1,2,0,45.0,1,1,26.25,0,2
442,0,3,1,20.0,0,0,9.5,0,1
443,0,3,1,25.0,1,0,7.775,0,1
444,1,2,0,28.0,0,0,13.0,0,1
445,1,3,1,25.0,0,0,8.1125,0,1
446,1,1,1,4.0,0,2,81.8583,0,0
